Province,District,WinnerParty
Mae Hong Son,1,พลังประชารัฐ
Mae Hong Son,2,ประชาธิปัตย์
Chiang Mai,1,ก้าวไกล
Chiang Mai,2,ก้าวไกล
Chiang Mai,3,ก้าวไกล
Chiang Mai,4,ก้าวไกล
Chiang Mai,5,เพื่อไทย
Chiang Mai,6,ก้าวไกล
Chiang Mai,7,ก้าวไกล
Chiang Mai,8,ก้าวไกล
Chiang Mai,9,พลังประชารัฐ
Chiang Mai,10,เพื่อไทย
Chiang Rai,1,ก้าวไกล
Chiang Rai,2,ก้าวไกล
Chiang Rai,3,ก้าวไกล
Chiang Rai,4,ก้าวไกล
Chiang Rai,5,ก้าวไกล
Chiang Rai,6,ก้าวไกล
Chiang Rai,7,ก้าวไกล
Phayao,1,ก้าวไกล
Phayao,2,ก้าวไกล
Phayao,3,ก้าวไกล
Nan,1,ก้าวไกล
Nan,2,ก้าวไกล
Nan,3,ก้าวไกล
Lampang,1,ก้าวไกล
Lampang,2,ก้าวไกล
Lampang,3,ก้าวไกล
Lampang,4,ก้าวไกล
Phrae,1,ก้าวไกล
Phrae,2,ก้าวไกล
Phrae,3,ก้าวไกล
Uttaradit,1,ก้าวไกล
Uttaradit,2,ก้าวไกล
Uttaradit,3,ก้าวไกล
Lamphun,1,ก้าวไกล
Lamphun,2,ก้าวไกล
Sukhothai,1,ก้าวไกล
Sukhothai,2,ก้าวไกล
Sukhothai,3,ก้าวไกล
Sukhothai,4,ก้าวไกล
Kampheng Phet,1,ก้าวไกล
Kampheng Phet,2,ก้าวไกล
Kampheng Phet,3,ก้าวไกล
Kampheng Phet,4,ก้าวไกล
Phichit,1,ก้าวไกล
Phichit,2,ก้าวไกล
Phichit,3,ก้าวไกล
Phitsanulok,1,ก้าวไกล
Phitsanulok,2,ก้าวไกล
Phitsanulok,3,ก้าวไกล
Phitsanulok,4,ก้าวไกล
Phitsanulok,5,ก้าวไกล
Tak,1,ก้าวไกล
Tak,2,ก้าวไกล
Tak,3,ก้าวไกล
Nakhon Sawan,1,ก้าวไกล
Nakhon Sawan,2,ก้าวไกล
Nakhon Sawan,3,ก้าวไกล
Nakhon Sawan,4,ก้าวไกล
Nakhon Sawan,5,ก้าวไกล
Nakhon Sawan,6,ก้าวไกล
Petchabun,1,ก้าวไกล
Petchabun,2,ก้าวไกล
Petchabun,3,ก้าวไกล
Petchabun,4,ก้าวไกล
Petchabun,5,ก้าวไกล
Petchabun,6,ก้าวไกล
Loei,1,ก้าวไกล
Loei,2,ก้าวไกล
Loei,3,ก้าวไกล
Loei,4,ก้าวไกล
Nong Khai,1,ก้าวไกล
Nong Khai,2,ก้าวไกล
Nong Khai,3,ก้าวไกล
Udon Thani,1,ก้าวไกล
Udon Thani,2,ก้าวไกล
Udon Thani,3,ก้าวไกล
Udon Thani,4,ก้าวไกล
Udon Thani,5,ก้าวไกล
Udon Thani,6,ก้าวไกล
Udon Thani,7,ก้าวไกล
Udon Thani,8,ก้าวไกล
Udon Thani,9,ก้าวไกล
Udon Thani,10,ก้าวไกล
Bueng Kan,1,ก้าวไกล
Bueng Kan,2,ก้าวไกล
Bueng Kan,3,ก้าวไกล
Nakhon Phanom,1,ก้าวไกล
Nakhon Phanom,2,ก้าวไกล
Nakhon Phanom,3,ก้าวไกล
Nakhon Phanom,4,ก้าวไกล
Nong Bua Lam Phu,1,ก้าวไกล
Nong Bua Lam Phu,2,ก้าวไกล
Nong Bua Lam Phu,3,ก้าวไกล
Khon Kaen,1,ก้าวไกล
Khon Kaen,2,ก้าวไกล
Khon Kaen,3,ก้าวไกล
Khon Kaen,4,ก้าวไกล
Khon Kaen,5,ก้าวไกล
Khon Kaen,6,ก้าวไกล
Khon Kaen,7,ก้าวไกล
Khon Kaen,8,ก้าวไกล
Khon Kaen,9,ก้าวไกล
Khon Kaen,10,ก้าวไกล
Khon Kaen,11,ก้าวไกล
Sakon Nakhon,1,ก้าวไกล
Sakon Nakhon,2,ก้าวไกล
Sakon Nakhon,3,ก้าวไกล
Sakon Nakhon,4,ก้าวไกล
Sakon Nakhon,5,ก้าวไกล
Sakon Nakhon,6,ก้าวไกล
Sakon Nakhon,7,ก้าวไกล
Mukdahan,1,ก้าวไกล
Mukdahan,2,ก้าวไกล
Chaiyaphum,1,ก้าวไกล
Chaiyaphum,2,ก้าวไกล
Chaiyaphum,3,ก้าวไกล
Chaiyaphum,4,ก้าวไกล
Chaiyaphum,5,ก้าวไกล
Chaiyaphum,6,ก้าวไกล
Chaiyaphum,7,ก้าวไกล
Kalasin,1,ก้าวไกล
Kalasin,2,ก้าวไกล
Kalasin,3,ก้าวไกล
Kalasin,4,ก้าวไกล
Kalasin,5,ก้าวไกล
Kalasin,6,ก้าวไกล
Amnat Charoen,1,ก้าวไกล
Amnat Charoen,2,ก้าวไกล
Yasothon,1,ก้าวไกล
Yasothon,2,ก้าวไกล
Yasothon,3,ก้าวไกล
