จังหวัด,เขต,ชื่อผู้สมัคร,หมายเลข,พรรค,วุฒิการศึกษา,เพศ,ช่วงอายุ,อาชีพ
กรุงเทพมหานคร,1,นางจุลดา  รุ่งจิรโรจน์,33,ประชาสันติ,ปริญญาตรี,หญิง,41-50 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,1,นางเจิมมาศ  จึงเลิศศิริ,10,ประชาธิปัตย์,ปริญญาโท,หญิง,51-60 ปี,นักการเมือง
กรุงเทพมหานคร,1,นายข้าพุทธ  ขาวดารา,18,เพื่อฟ้าดิน,ปริญญาตรี,ชาย,51-60 ปี,นักกฎหมาย
กรุงเทพมหานคร,1,นายชัยธนพล  ศรีจิวังษา,34,ความหวังใหม่,ปริญญาโท,ชาย,51-60 ปี,นักวิชาการ / ครู / อาจารย์
กรุงเทพมหานคร,1,นายบุญล้อม  อิงคเวทย์,14,กิจสังคม,ปริญญาตรี,ชาย,41-50 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,1,นายประวิทย์  ติยะปัญจนิตย์,2,ชาติพัฒนาเพื่อแผ่นดิน,ปริญญาตรี,ชาย,ต่ำกว่าหรือเท่ากับ 30 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,1,นายวรา  บัณฑุนาค,39,เพื่อนเกษตรไทย,ปริญญาโท,ชาย,61-70 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,1,นายศิริ  หวังบุญเกิด,12,รักษ์สันติ,ปริญญาโท,ชาย,61-70 ปี,ข้าราชการบำนาญ
กรุงเทพมหานคร,1,พลตำรวจตรีรุ่งโรจน์  เภกะนันทน์,1,เพื่อไทย,ปริญญาตรี,ชาย,61-70 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,2,นางอมริสา  ตัณสถิตย์,12,รักษ์สันติ,ปริญญาเอก,หญิง,61-70 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,2,นายจีราวัฒน์  ไชยเศรษฐ์,34,ความหวังใหม่,ปริญญาเอก,ชาย,71-80 ปี,นักวิชาการ / ครู / อาจารย์
กรุงเทพมหานคร,2,นายธรรมม์ชัย  รุ่งจริโรจน์,33,ประชาสันติ,ปริญญาโท,ชาย,51-60 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,2,นายพัท  บุญยศ,39,เพื่อนเกษตรไทย,ปริญญาตรี,ชาย,61-70 ปี,ข้าราชการบำนาญ
กรุงเทพมหานคร,2,นายมนตรี  ฐิรโฆไท,2,ชาติพัฒนาเพื่อแผ่นดิน,ปริญญาโท,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
กรุงเทพมหานคร,2,นายวุฒิชัย  พฤกธารา,14,กิจสังคม,ต่ำกว่าปริญญาตรี,ชาย,41-50 ปี,อาชีพอิสระ / รับจ้าง
กรุงเทพมหานคร,2,นายสัณฑดล  มิตรานนท์,20,การเมืองใหม่,ปริญญาตรี,ชาย,41-50 ปี,นักกฎหมาย
