หมายเลข,พรรค,ลำดับในบัญชี,ชื่อผู้สมัคร,การศึกษาสูงสุด,เพศ,ช่วงอายุ,อาชีพ
1,เพื่อไทย,1,นางสาวยิ่งลักษณ์  ชินวัตร,ปริญญาโท,หญิง,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,2,นายยงยุทธ  วิชัยดิษฐ,ปริญญาโท,ชาย,61-70 ปี,ข้าราชการบำนาญ
1,เพื่อไทย,3,ร้อยตำรวจเอกเฉลิม  อยู่บำรุง,ปริญญาเอก,ชาย,61-70 ปี,นักการเมือง
1,เพื่อไทย,4,นายเสนาะ  เทียนทอง,ปริญญาตรี,ชาย,71-80 ปี,นักการเมือง
1,เพื่อไทย,5,พลตำรวจเอกประชา  พรหมนอก,ปริญญาโท,ชาย,61-70 ปี,ข้าราชการบำนาญ
1,เพื่อไทย,6,นายมิ่งขวัญ  แสงสุวรรณ์,ปริญญาตรี,ชาย,51-60 ปี,นักการเมือง
1,เพื่อไทย,7,นายปลอดประสพ  สุรัสวดี,ปริญญาเอก,ชาย,61-70 ปี,นักการเมือง
1,เพื่อไทย,8,นายจตุพร  พรหมพันธุ์,ปริญญาตรี,ชาย,41-50 ปี,นักการเมือง
1,เพื่อไทย,9,นายณัฐวุฒิ  ใสยเกื้อ,ปริญญาโท,ชาย,31-40 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,10,นายสุชาติ  ธาดาธำรงเวช,ปริญญาเอก,ชาย,51-60 ปี,นักการเมือง
1,เพื่อไทย,11,พลตำรวจโทชัจจ์  กุลดิลก,ปริญญาตรี,ชาย,61-70 ปี,ข้าราชการบำนาญ
1,เพื่อไทย,12,นายจารุพงศ์  เรืองสุวรรณ,ปริญญาโท,ชาย,61-70 ปี,ข้าราชการบำนาญ
1,เพื่อไทย,13,นายบัณฑูร  สุภัควณิช,ปริญญาเอก,ชาย,61-70 ปี,พนักงานของรัฐ
1,เพื่อไทย,14,พันเอกอภิวันท์  วิริยะชัย,ปริญญาเอก,ชาย,61-70 ปี,ข้าราชการบำนาญ
1,เพื่อไทย,15,นายสันติ  พร้อมพัฒน์,ปริญญาโท,ชาย,51-60 ปี,นักการเมือง
1,เพื่อไทย,16,พลตำรวจเอกวิรุฬห์  พื้นแสน,ต่ำกว่าปริญญาตรี,ชาย,71-80 ปี,นักการเมือง
1,เพื่อไทย,17,พลตำรวจโทวิโรจน์  เปาอินทร์,ต่ำกว่าปริญญาตรี,ชาย,71-80 ปี,ข้าราชการบำนาญ
1,เพื่อไทย,18,นายวิรุฬ  เตชะไพบูลย์,ต่ำกว่าปริญญาตรี,ชาย,61-70 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,19,นายเหวง  โตจิราการ,ปริญญาตรี,ชาย,51-60 ปี,แพทย์
1,เพื่อไทย,20,นายสุรพงษ์  โตวิจักษณ์ชัยกุล,ปริญญาเอก,ชาย,51-60 ปี,นักการเมือง
1,เพื่อไทย,21,นายนิวัฒน์ธำรง  บุญทรงไพศาล,ปริญญาตรี,ชาย,61-70 ปี,อาชีพอิสระ / รับจ้าง
1,เพื่อไทย,22,นายวัฒนา  เมืองสุข,ปริญญาโท,ชาย,51-60 ปี,นักการเมือง
1,เพื่อไทย,23,พลเอกยุทธศักดิ์  ศศิประภา,ปริญญาตรี,ชาย,71-80 ปี,ข้าราชการบำนาญ
1,เพื่อไทย,24,ร้อยตำรวจเอกนิติภูมิ  นวรัตน์,ปริญญาเอก,ชาย,51-60 ปี,อาชีพอิสระ / รับจ้าง
1,เพื่อไทย,25,นางสาวภูวนิดา  คุนผลิน,ปริญญาเอก,หญิง,41-50 ปี,นักการเมือง
1,เพื่อไทย,26,นายสุนัย  จุลพงศธร,ปริญญาเอก,ชาย,51-60 ปี,นักการเมือง
1,เพื่อไทย,27,นางระพิพรรณ  พงศ์เรืองรอง,ปริญญาตรี,หญิง,31-40 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,28,นายคณวัฒน์  วศินสังวร,ปริญญาโท,ชาย,41-50 ปี,นักการเมือง
1,เพื่อไทย,29,นายอัสนี  เชิดชัย,ปริญญาเอก,ชาย,51-60 ปี,ไม่ระบุ
1,เพื่อไทย,30,นางสาวสุณีย์  เหลืองวิจิตร,ปริญญาโท,หญิง,51-60 ปี,นักการเมือง
1,เพื่อไทย,31,พันตรีอาณันย์  วัชโรทัย,ปริญญาตรี,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,32,นายวิรัช  รัตนเศรษฐ,ปริญญาโท,ชาย,51-60 ปี,นักการเมือง
1,เพื่อไทย,33,นายพรศักดิ์  เจริญประเสริฐ,ปริญญาโท,ชาย,51-60 ปี,นักการเมือง
1,เพื่อไทย,34,นายนภินทร  ศรีสรรพางค์,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,35,นายถาวร  ตรีรัตน์ณรงค์,ปริญญาโท,ชาย,71-80 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,36,นางวราภรณ์  ตั้งภากรณ์,ปริญญาโท,หญิง,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,37,นางสาวสุนทรี  ชัยวิรัตนะ,ปริญญาโท,หญิง,31-40 ปี,นักการเมือง
1,เพื่อไทย,38,นางสาวตวงรัตน์  โล่ห์สุนทร,ปริญญาโท,หญิง,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,39,นายสมพล  เกยุราพันธุ์,ต่ำกว่าปริญญาตรี,ชาย,71-80 ปี,อาชีพอิสระ / รับจ้าง
1,เพื่อไทย,40,นายพงศกร  อรรณนพพร,ปริญญาโท,ชาย,41-50 ปี,นักการเมือง
1,เพื่อไทย,41,นายพร้อมพงศ์  นพฤทธิ์,ปริญญาเอก,ชาย,41-50 ปี,นักการเมือง
1,เพื่อไทย,42,นางสาวขัตติยา  สวัสดิผล,ปริญญาโท,หญิง,ต่ำกว่าหรือเท่ากับ 30 ปี,ที่ปรึกษา
1,เพื่อไทย,43,นายธนเทพ  ทิมสุวรรณ,ปริญญาตรี,ชาย,41-50 ปี,นักการเมือง
1,เพื่อไทย,44,นางสาวกฤษณา  สีหลักษณ์,ปริญญาโท,หญิง,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,45,นายเกียรติชัย  ติรณศักดิ์กุล,ปริญญาตรี,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,46,นายวิภูแถลง  พัฒนภูมิไท,ปริญญาโท,ชาย,51-60 ปี,อาชีพอิสระ / รับจ้าง
1,เพื่อไทย,47,นางเยาวนิตย์  เพียงเกษ,ปริญญาเอก,หญิง,51-60 ปี,พนักงานของรัฐ
1,เพื่อไทย,48,นายพายัพ  ปั้นเกตุ,ปริญญาโท,ชาย,51-60 ปี,นักการเมือง
1,เพื่อไทย,49,นางรังสิมา  เจริญศิริ,ปริญญาโท,หญิง,61-70 ปี,ข้าราชการบำนาญ
1,เพื่อไทย,50,นายเชิดชัย  ตันติศิรินทร์,ปริญญาตรี,ชาย,61-70 ปี,ข้าราชการบำนาญ
1,เพื่อไทย,51,นายกานต์  กัลป์ตินันท์,ปริญญาโท,ชาย,51-60 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,52,นายธนิก  มาสีพิทักษ์,ปริญญาโท,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,53,นายพิชิต  ชื่นบาน,ปริญญาตรี,ชาย,51-60 ปี,ที่ปรึกษา
1,เพื่อไทย,54,นายก่อแก้ว  พิกุลทอง,ปริญญาโท,ชาย,41-50 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,55,นายนิยม  วรปัญญา,ปริญญาตรี,ชาย,มากกว่า 80 ปี,นักการเมือง
1,เพื่อไทย,56,นางสาวจารุพรรณ  กุลดิลก,ปริญญาเอก,หญิง,31-40 ปี,นักวิชาการ / ครู / อาจารย์
1,เพื่อไทย,57,นายอรรถกร  ศิริลัทธยากร,ปริญญาโท,ชาย,ต่ำกว่าหรือเท่ากับ 30 ปี,ธุรกิจส่วนตัว / ค้าขาย
1,เพื่อไทย,58,นายเวียง  วรเชษฐ์,ปริญญาตรี,ชาย,51-60 ปี,ข้าราชการบำนาญ
